area,amount_spent,tenure,qualification,cluster,cluster_label
West London,38079.471765888884,8.4790748852714,High School,1,Middle Income
South London,95120.7163345817,9.995277528125406,Bachelor,2,High Income
Central London,73467.4002393291,17.236400470841424,PhD,2,High Income
East London,60267.18993550662,7.46008333513795,High School,1,Middle Income
East London,16445.845403801213,17.523344011431256,Masters,0,Low Income
East London,16443.457513284062,2.6745541885571384,High School,1,Middle Income
North London,6750.2776046517465,15.759170306963984,Bachelor,0,Low Income
North London,86751.43843171858,17.10340502803999,Masters,2,High Income
East London,60510.38616257767,4.4545354039094365,PhD,1,Middle Income
West London,71099.1852018085,9.176584115071808,High School,2,High Income
West London,3037.8649352844423,4.144495718609457,High School,1,Middle Income
North London,97021.07536403743,14.425478450890138,PhD,2,High Income
East London,83411.82143924176,11.171607593171478,High School,2,High Income
West London,22021.57195714934,13.0711435874581,High School,0,Low Income
North London,19000.67175350296,4.733252372168012,High School,1,Middle Income
East London,19157.046475489948,5.023171378995971,Masters,1,Middle Income
South London,31119.982052994234,1.7884491846882211,Masters,1,Middle Income
East London,52950.88673159155,7.119283168718865,Bachelor,1,Middle Income
East London,43762.55684556946,11.635148565339824,High School,0,Low Income
Central London,29831.68487960615,17.300763365949248,Bachelor,0,Low Income
Central London,61573.43657751557,13.671621501714933,Masters,2,High Income
South London,14809.892204552141,9.272530144595278,High School,0,Low Income
South London,29922.320204986598,19.10928217348862,Bachelor,0,Low Income
East London,37269.82248607548,14.665658810940805,High School,0,Low Income
West London,46150.92843748656,18.67313885438845,High School,0,Low Income
South London,78732.42017790835,11.024171492171147,PhD,2,High Income
East London,20767.704433677613,5.919181221069652,Bachelor,1,Middle Income
North London,51909.20940294755,2.0037070409297177,Masters,1,Middle Income
Central London,59649.0423173422,14.79561217819316,Bachelor,2,High Income
West London,5598.590859279775,3.3047569621051482,Bachelor,1,Middle Income
East London,61146.9403382424,6.752727437167376,Bachelor,1,Middle Income
North London,17881.88824504186,11.11694724979405,PhD,0,Low Income
Central London,7440.107705542672,11.723915167815205,High School,0,Low Income
North London,94939.66818807999,12.411080742755585,Masters,2,High Income
East London,96597.57127438138,4.158851276644312,PhD,1,Middle Income
South London,81031.33746352965,8.215010691611326,Masters,2,High Income
Central London,31156.763148163696,12.726690315222367,PhD,0,Low Income
North London,10669.539286632003,19.42655842804191,High School,0,Low Income
South London,68739.06962470354,14.824991616294085,Masters,2,High Income
West London,44575.09688022053,18.529471384785197,Bachelor,0,Low Income
East London,13081.785249633103,15.482029107969364,PhD,0,Low Income
East London,50022.514101015746,12.242622408955608,Masters,0,Low Income
Central London,4404.463590406622,4.648444013590547,High School,1,Middle Income
North London,91022.71980579942,13.667027385957748,Masters,2,High Income
West London,26619.218178401676,12.844211753238234,PhD,0,Low Income
Central London,66589.70615104421,12.446914238688063,High School,2,High Income
Central London,31859.396532851686,10.305931491776574,Bachelor,0,Low Income
North London,52486.73409660327,11.044475475796236,PhD,2,High Income
West London,55124.31765498468,7.354408015243977,PhD,1,Middle Income
North London,19300.591097027176,10.86694116020376,High School,0,Low Income
East London,96988.87814869129,4.753562207891086,PhD,2,High Income
South London,77738.14951275034,16.29831354984716,Masters,2,High Income
East London,94010.39521485473,4.529762139275448,Bachelor,2,High Income
East London,89587.90769233723,2.614359507899862,Masters,1,Middle Income
Central London,60192.09790229743,9.28867450078599,High School,2,High Income
East London,92265.54926728856,13.507841350615175,PhD,2,High Income
West London,9760.75770314003,9.316619673737286,Bachelor,0,Low Income
East London,20402.303379495374,6.2583285070748635,High School,1,Middle Income
West London,5477.501602143268,11.605252493918375,Masters,0,Low Income
North London,33207.70274556317,7.593044372831799,PhD,1,Middle Income
Central London,39479.05167925872,18.724486112406026,PhD,0,Low Income
West London,27863.554145615693,18.53025765246787,High School,0,Low Income
East London,83045.013406041,10.545064579469814,Masters,2,High Income
Central London,36318.57934266534,7.229795886346912,PhD,1,Middle Income
Central London,28812.516459050694,15.005515865176143,Masters,0,Low Income
West London,54726.9122326666,1.6975459261782662,Bachelor,1,Middle Income
West London,14951.498272501502,10.020611114829373,PhD,0,Low Income
South London,80417.50109464992,7.390144491136337,Bachelor,2,High Income
South London,8380.51372429731,18.49018181694854,PhD,0,Low Income
Central London,98701.80672345121,1.2280575181809683,High School,1,Middle Income
South London,77452.23216036908,11.503482638648633,PhD,2,High Income
East London,20672.852471883067,15.072608040265894,PhD,0,Low Income
North London,1546.6895952366376,10.215341762956783,Masters,0,Low Income
Central London,81730.68141702858,2.6226575730917117,Masters,1,Middle Income
North London,70978.8770409141,19.476766410530143,Bachelor,2,High Income
South London,73171.70963605774,10.84219819614586,Bachelor,2,High Income
West London,77355.76432190863,12.669538642061216,Bachelor,2,High Income
Central London,8330.420521674947,5.495585871442639,PhD,1,Middle Income
South London,36488.10712588299,10.186463617029272,PhD,0,Low Income
East London,12471.036892987842,9.153840347208115,Bachelor,0,Low Income
Central London,86447.23916168376,2.423020998037691,High School,1,Middle Income
Central London,62706.51455592823,3.017046717401877,High School,1,Middle Income
West London,33758.90446041227,16.911977872756715,PhD,0,Low Income
Central London,7292.27667831634,5.556579091925215,High School,1,Middle Income
West London,31787.24984985056,4.704207158473981,High School,1,Middle Income
South London,33193.14888064796,10.593317573752646,Bachelor,0,Low Income
East London,73231.01165546835,15.606195495887746,High School,2,High Income
East London,64118.1896641661,2.1769838530007704,High School,1,Middle Income
Central London,88834.06151505632,11.959350473126861,PhD,2,High Income
Central London,47749.27759103298,3.264998413970894,PhD,1,Middle Income
South London,12839.830347891868,1.6927599656867507,PhD,1,Middle Income
West London,71611.23393507651,2.0021350910821303,High School,1,Middle Income
East London,76317.71981307285,16.849118055960385,Bachelor,2,High Income
West London,56566.44255938013,3.2414771889331697,Masters,1,Middle Income
South London,77325.75081550154,1.857875923833547,PhD,1,Middle Income
East London,49885.76404007468,9.320097855715334,PhD,1,Middle Income
East London,52750.55010881741,17.03587596689847,PhD,0,Low Income
North London,43326.560817496415,5.985759153296737,Bachelor,1,Middle Income
South London,3516.4935476654236,9.012539732992412,Masters,0,Low Income
South London,11681.25127233714,1.7585281187112733,Masters,1,Middle Income
North London,4111.4893829866905,9.532491768562641,PhD,0,Low Income
West London,64004.63071511426,11.97464853210554,High School,2,High Income
North London,32121.24212655634,11.84723402129075,PhD,0,Low Income
South London,51348.49842530557,7.316107151312938,PhD,1,Middle Income
West London,90849.0809186832,6.9951304325995745,High School,2,High Income
East London,25679.93068573862,3.02584875979536,High School,1,Middle Income
North London,41627.909380527344,7.9691680922791,PhD,1,Middle Income
West London,75799.56271576181,2.8903987085863285,Bachelor,1,Middle Income
West London,23651.018383670624,15.56532294952898,Bachelor,0,Low Income
West London,8621.011073050506,19.359211657215532,High School,0,Low Income
North London,29685.393838463035,19.43141467666743,PhD,0,Low Income
East London,16960.907438146438,17.436350888132484,Bachelor,0,Low Income
West London,93040.06758191473,12.415050837452764,PhD,2,High Income
North London,81003.91757687728,14.31644824763372,PhD,2,High Income
South London,63706.971894531925,6.418910250927867,PhD,1,Middle Income
North London,87274.59842858405,12.984637983279793,Bachelor,2,High Income
North London,80563.53561301233,9.65734143935767,Masters,2,High Income
North London,19470.43582971755,10.158329455761718,PhD,0,Low Income
West London,89363.3408505078,15.397754647128002,Bachelor,2,High Income
North London,54394.88194964942,6.356448756347781,Masters,1,Middle Income
South London,80936.5753612422,7.042752622195878,High School,2,High Income
West London,89713.03869242583,18.568194031444097,Bachelor,2,High Income
South London,32482.344022214525,2.0682616021684725,Masters,1,Middle Income
Central London,11895.14052824,10.227051669853466,Bachelor,0,Low Income
North London,23565.581091652228,18.343215207749374,Masters,0,Low Income
West London,43283.67107399937,12.596897148544983,Masters,0,Low Income
West London,81983.46182632682,11.381734410030509,Bachelor,2,High Income
North London,86212.327742378,5.745139405357749,High School,2,High Income
East London,1688.2609225878796,7.522234292224518,PhD,0,Low Income
East London,51563.98295517901,17.188919900289164,Masters,0,Low Income
South London,42323.68931172912,11.625144503600705,PhD,0,Low Income
North London,22988.673236602295,10.780101681378818,High School,0,Low Income
North London,12866.671366034598,2.8920145572605493,PhD,1,Middle Income
Central London,34423.901968959166,1.3045349726473394,PhD,1,Middle Income
East London,94348.0606873394,19.310018585053932,Bachelor,2,High Income
East London,32997.09027005477,8.16273717844999,Bachelor,1,Middle Income
North London,52360.27155259324,12.461048179890582,High School,2,High Income
